payment_id,amount,currency,payment_method,status,failure_category,error_code,error_description,timestamp,hour,day_of_week,customer_previous_success,customer_previous_failures,retry_count,transaction_frequency,average_customer_transaction,recoverable
pay_10018,1251.3,INR,Net Banking,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-24 09:04:47,9,Monday,19,4,0,24,1431.85,0
pay_10019,167.44,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-25 12:10:39,12,Tuesday,0,2,0,3,152.0,0
pay_10020,849.7,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-05 09:28:54,9,Wednesday,8,3,0,12,803.35,0
pay_10021,9069.5,INR,Wallet,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-05 10:39:25,10,Wednesday,16,4,0,21,8288.94,0
pay_10022,243.96,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-20 21:37:31,21,Thursday,0,2,0,3,261.59,0
pay_10023,2042.53,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-12 13:51:56,13,Wednesday,3,2,0,6,1936.04,0
pay_10024,843.21,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-09-02 05:24:11,5,Wednesday,5,2,0,8,949.94,0
pay_10025,4152.99,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-23 21:21:53,21,Sunday,2,3,0,6,3863.87,0
pay_10026,771.93,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-06 08:05:30,8,Thursday,19,0,0,20,830.89,0
pay_10027,1372.4,INR,Net Banking,FAILED,INSUFFICIENT_FUNDS,E_INSUFFICIENT_FUNDS,Transaction failed due to code E_INSUFFICIENT_FUNDS,2026-08-16 22:02:58,22,Sunday,9,2,2,12,1223.38,1
pay_10028,630.79,INR,Wallet,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-06 09:28:10,9,Thursday,1,0,0,2,528.12,0
pay_10029,5837.81,INR,Net Banking,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-19 01:15:29,1,Wednesday,8,2,0,11,6305.67,0
pay_10030,4837.76,INR,Net Banking,FAILED,AUTHENTICATION_FAILURE,E_3DS_FAILED,Transaction failed due to code E_3DS_FAILED,2026-08-15 04:32:44,4,Saturday,16,3,2,20,5609.0,1
pay_10031,2481.23,INR,UPI,FAILED,CARD_ISSUE,E_CARD_EXPIRED,Transaction failed due to code E_CARD_EXPIRED,2026-08-25 08:36:41,8,Tuesday,17,1,1,19,2671.68,0
pay_10032,2788.6,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-17 20:51:35,20,Monday,13,4,0,18,2430.35,0
pay_10033,1291.12,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-16 11:01:13,11,Sunday,0,3,0,4,1295.67,0
pay_10034,2678.79,INR,UPI,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-08-06 00:50:28,0,Thursday,7,2,1,10,2608.49,0
pay_10035,1227.26,INR,Credit Card,FAILED,CARD_ISSUE,E_CARD_EXPIRED,Transaction failed due to code E_CARD_EXPIRED,2026-08-21 02:27:02,2,Friday,18,3,3,22,993.74,0
pay_10036,2742.42,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-06 02:59:30,2,Thursday,13,4,0,18,3163.1,0
pay_10037,3593.03,INR,Wallet,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-27 01:06:47,1,Thursday,2,3,0,6,4100.38,0
pay_10038,1021.94,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-09-01 01:34:05,1,Tuesday,2,1,0,4,1045.16,0
pay_10039,7028.23,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-09 20:09:08,20,Sunday,14,1,0,16,6337.11,0
pay_10040,1024.92,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-06 12:37:50,12,Thursday,10,4,0,15,941.5,0
pay_10041,1510.87,INR,UPI,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-08-13 21:55:26,21,Thursday,3,4,0,8,1326.11,0
pay_10042,333.96,INR,UPI,FAILED,INSUFFICIENT_FUNDS,E_INSUFFICIENT_FUNDS,Transaction failed due to code E_INSUFFICIENT_FUNDS,2026-08-22 10:18:42,10,Saturday,1,2,1,4,329.36,1
pay_10043,2105.74,INR,UPI,FAILED,CARD_ISSUE,E_CARD_EXPIRED,Transaction failed due to code E_CARD_EXPIRED,2026-08-05 07:57:36,7,Wednesday,5,2,1,8,1791.61,0
pay_10044,1996.63,INR,Debit Card,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-08-04 17:21:38,17,Tuesday,12,3,1,16,1925.83,0
pay_10045,3155.87,INR,UPI,FAILED,NETWORK_OR_TIMEOUT,E_GATEWAY_TIMEOUT,Transaction failed due to code E_GATEWAY_TIMEOUT,2026-08-17 22:01:39,22,Monday,16,2,2,19,3078.83,1
pay_10046,354.26,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-06 19:21:49,19,Thursday,11,4,0,16,291.65,0
pay_10047,6319.05,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-31 00:17:26,0,Monday,15,0,0,16,6723.97,0
pay_10048,971.03,INR,Wallet,SUCCESS,SUCCESS,NONE,Transaction successful,2026-09-03 03:03:57,3,Thursday,4,4,0,9,939.8,0
pay_10049,861.65,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-06 08:36:43,8,Thursday,13,3,0,17,705.18,0
pay_10050,253.95,INR,Net Banking,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-31 04:14:34,4,Monday,15,1,0,17,280.7,0
pay_10051,4261.54,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-17 12:12:04,12,Monday,9,4,0,14,4920.68,0
pay_10052,905.78,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-14 22:57:52,22,Friday,4,4,0,9,783.66,0
pay_10053,332.96,INR,Credit Card,FAILED,AUTHENTICATION_FAILURE,E_3DS_FAILED,Transaction failed due to code E_3DS_FAILED,2026-08-11 20:27:19,20,Tuesday,11,1,3,13,342.73,1
pay_10054,493.85,INR,Debit Card,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-08-20 22:36:17,22,Thursday,7,1,0,9,435.91,0
pay_10055,950.38,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-19 21:32:20,21,Wednesday,18,1,0,20,1019.95,0
pay_10056,334.62,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-12 01:58:40,1,Wednesday,1,2,0,4,305.42,0
pay_10057,464.38,INR,Credit Card,FAILED,INSUFFICIENT_FUNDS,E_INSUFFICIENT_FUNDS,Transaction failed due to code E_INSUFFICIENT_FUNDS,2026-08-06 12:10:11,12,Thursday,3,1,0,5,450.16,1
pay_10058,2251.34,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-14 18:02:01,18,Friday,17,0,0,18,2500.26,0
pay_10059,1191.83,INR,Net Banking,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-05 09:35:23,9,Wednesday,12,0,0,13,1067.04,0
pay_10060,1335.95,INR,Credit Card,FAILED,CARD_ISSUE,E_CARD_EXPIRED,Transaction failed due to code E_CARD_EXPIRED,2026-08-27 22:11:22,22,Thursday,18,0,2,19,1097.34,0
pay_10061,8107.66,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-25 05:14:39,5,Tuesday,13,3,0,17,8345.82,0
pay_10062,2648.08,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-16 17:15:05,17,Sunday,19,2,0,22,2343.79,0
pay_10063,7455.95,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-13 19:15:41,19,Thursday,9,1,0,11,6136.42,0
pay_10064,2143.65,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-05 03:05:49,3,Wednesday,10,1,0,12,2545.5,0
pay_10065,3062.12,INR,Debit Card,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-08-31 08:52:03,8,Monday,9,0,3,10,3456.35,0
pay_10066,3212.5,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-20 04:05:29,4,Thursday,12,0,0,13,3701.26,0
pay_10067,825.21,INR,Net Banking,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-08-09 06:06:27,6,Sunday,18,4,2,23,784.94,0
pay_10068,3202.66,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-13 08:35:21,8,Thursday,2,4,0,7,2576.67,0
pay_10069,1730.89,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-09-03 04:20:14,4,Thursday,8,0,0,9,1856.23,0
pay_10070,827.9,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-13 10:17:22,10,Thursday,0,4,0,5,981.3,0
pay_10071,180.57,INR,Wallet,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-14 04:34:59,4,Friday,15,4,0,20,216.18,0
pay_10072,341.65,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-09-01 03:43:06,3,Tuesday,14,0,0,15,302.95,0
pay_10073,1022.1,INR,Wallet,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-21 02:08:44,2,Friday,10,3,0,14,1209.64,0
pay_10074,299.01,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-20 03:15:26,3,Thursday,7,1,0,9,261.71,0
pay_10075,1707.65,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-20 05:51:14,5,Thursday,8,3,0,12,2039.76,0
pay_10076,3144.66,INR,Credit Card,FAILED,NETWORK_OR_TIMEOUT,E_GATEWAY_TIMEOUT,Transaction failed due to code E_GATEWAY_TIMEOUT,2026-08-08 08:41:15,8,Saturday,12,2,0,15,3550.37,1
pay_10077,7629.35,INR,Debit Card,FAILED,INSUFFICIENT_FUNDS,E_INSUFFICIENT_FUNDS,Transaction failed due to code E_INSUFFICIENT_FUNDS,2026-08-11 08:18:45,8,Tuesday,17,2,1,20,6241.48,1
pay_10078,216.8,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-05 00:12:39,0,Wednesday,14,0,0,15,206.11,0
pay_10079,3611.52,INR,UPI,FAILED,INVALID_PAYMENT_DETAILS,E_INVALID_CVV,Transaction failed due to code E_INVALID_CVV,2026-08-07 19:16:01,19,Friday,8,2,1,11,3082.58,0
pay_10080,184.42,INR,UPI,FAILED,UNKNOWN,E_GENERIC_ERROR,Transaction failed due to code E_GENERIC_ERROR,2026-08-20 00:08:50,0,Thursday,2,4,1,7,190.7,0
pay_10081,3387.67,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-18 11:55:51,11,Tuesday,8,0,0,9,4002.94,0
pay_10082,2479.62,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-12 19:12:30,19,Wednesday,7,1,0,9,2477.8,0
pay_10083,1766.66,INR,Debit Card,FAILED,AUTHENTICATION_FAILURE,E_3DS_FAILED,Transaction failed due to code E_3DS_FAILED,2026-08-12 15:27:36,15,Wednesday,16,4,0,21,1851.68,1
pay_10084,3194.16,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-08 11:26:46,11,Saturday,5,1,0,7,3309.04,0
pay_10085,1394.95,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-09-03 11:24:26,11,Thursday,0,3,0,4,1282.22,0
pay_10086,2003.76,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-09-02 04:32:19,4,Wednesday,16,1,0,18,2219.3,0
pay_10087,321.33,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-26 02:14:03,2,Wednesday,10,2,0,13,287.93,0
pay_10088,347.24,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-10 11:05:17,11,Monday,10,3,0,14,303.05,0
pay_10089,1210.35,INR,Net Banking,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-21 00:48:57,0,Friday,17,4,0,22,1061.37,0
pay_10090,254.32,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-18 02:40:18,2,Tuesday,5,0,0,6,257.82,0
pay_10091,1250.11,INR,Net Banking,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-28 22:13:24,22,Friday,8,1,0,10,1399.83,0
pay_10092,2621.48,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-31 02:55:16,2,Monday,15,4,0,20,2099.91,0
pay_10093,5218.09,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-09-03 10:25:29,10,Thursday,14,1,0,16,5760.68,0
pay_10094,2044.3,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-09-01 01:09:24,1,Tuesday,18,2,0,21,2367.47,0
pay_10095,1941.95,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-06 01:18:00,1,Thursday,2,2,0,5,1741.91,0
pay_10096,934.19,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-31 12:41:36,12,Monday,16,1,0,18,947.39,0
pay_10097,813.88,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-21 10:43:27,10,Friday,2,0,0,3,813.37,0
pay_10098,377.33,INR,Credit Card,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-08-10 21:44:05,21,Monday,9,0,2,10,352.8,0
pay_10099,5897.66,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-15 06:04:33,6,Saturday,12,4,0,17,6920.77,0
pay_10100,168.91,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-10 18:35:40,18,Monday,3,2,0,6,141.07,0
pay_10101,4248.0,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-30 09:30:39,9,Sunday,18,4,0,23,5067.66,0
pay_10102,447.07,INR,UPI,FAILED,INVALID_PAYMENT_DETAILS,E_INVALID_CVV,Transaction failed due to code E_INVALID_CVV,2026-08-24 17:48:49,17,Monday,5,2,0,8,504.45,0
pay_10103,3318.68,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-07 12:30:08,12,Friday,11,4,0,16,2903.24,0
pay_10104,1127.72,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-15 17:38:47,17,Saturday,0,1,0,2,1248.51,0
pay_10105,378.34,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-23 06:22:45,6,Sunday,10,2,0,13,310.51,0
pay_10106,1175.96,INR,UPI,FAILED,CARD_ISSUE,E_CARD_EXPIRED,Transaction failed due to code E_CARD_EXPIRED,2026-08-09 08:28:48,8,Sunday,19,0,1,20,1006.07,0
pay_10107,156.79,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-30 00:54:29,0,Sunday,2,0,0,3,178.79,0
pay_10108,3575.8,INR,UPI,FAILED,CUSTOMER_ABANDONMENT,E_USER_CANCELLED,Transaction failed due to code E_USER_CANCELLED,2026-08-20 15:20:11,15,Thursday,2,2,3,5,4185.76,0
pay_10109,3346.71,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-17 20:03:31,20,Monday,8,4,0,13,2947.28,0
pay_10110,596.79,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-10 17:34:51,17,Monday,13,1,0,15,694.15,0
pay_10111,1100.21,INR,Credit Card,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-08-22 19:49:28,19,Saturday,18,4,1,23,1012.8,0
pay_10112,3591.94,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-12 16:00:23,16,Wednesday,1,4,0,6,4175.95,0
pay_10113,2597.0,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-23 12:40:28,12,Sunday,18,1,0,20,2222.28,0
pay_10114,4100.0,INR,Credit Card,FAILED,AUTHENTICATION_FAILURE,E_3DS_FAILED,Transaction failed due to code E_3DS_FAILED,2026-08-17 12:16:42,12,Monday,5,0,0,6,3791.22,1
pay_10115,864.17,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-21 01:24:04,1,Friday,1,1,0,3,862.09,0
pay_10116,3662.52,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-22 00:20:19,0,Saturday,3,4,0,8,3116.79,0
pay_10117,1415.79,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-29 17:02:51,17,Saturday,3,3,0,7,1569.76,0
pay_10118,180.7,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-08 14:21:14,14,Saturday,10,2,0,13,169.55,0
pay_10119,651.0,INR,Net Banking,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-23 18:37:16,18,Sunday,14,1,0,16,767.47,0
pay_10120,566.17,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-06 03:28:52,3,Thursday,0,3,0,4,587.22,0
pay_10121,419.56,INR,Net Banking,FAILED,NETWORK_OR_TIMEOUT,E_GATEWAY_TIMEOUT,Transaction failed due to code E_GATEWAY_TIMEOUT,2026-08-06 22:52:43,22,Thursday,16,3,1,20,398.49,1
pay_10122,328.53,INR,UPI,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-09-03 07:25:19,7,Thursday,4,4,1,9,284.58,0
pay_10123,665.47,INR,Debit Card,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-08-10 09:53:59,9,Monday,14,4,3,19,633.34,0
pay_10124,3558.88,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-14 22:10:24,22,Friday,19,0,0,20,4076.37,0
pay_10125,6558.58,INR,Credit Card,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-08-22 23:49:37,23,Saturday,11,2,2,14,5616.39,0
pay_10126,635.14,INR,Credit Card,FAILED,CARD_ISSUE,E_CARD_EXPIRED,Transaction failed due to code E_CARD_EXPIRED,2026-08-09 02:56:39,2,Sunday,17,4,1,22,638.99,0
pay_10127,9426.92,INR,Credit Card,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-09-01 14:33:16,14,Tuesday,16,0,3,17,8710.24,0
pay_10128,1415.91,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-09-03 04:24:41,4,Thursday,16,4,0,21,1346.66,0
pay_10129,4678.35,INR,Credit Card,FAILED,BANK_DECLINE,E_ISSUER_DECLINE,Transaction failed due to code E_ISSUER_DECLINE,2026-08-09 15:03:19,15,Sunday,16,1,1,18,4672.76,0
pay_10130,3774.22,INR,UPI,FAILED,CUSTOMER_ABANDONMENT,E_USER_CANCELLED,Transaction failed due to code E_USER_CANCELLED,2026-08-23 11:59:58,11,Sunday,9,1,3,11,4374.22,0
pay_10131,2019.42,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-25 08:35:57,8,Tuesday,17,4,0,22,1945.09,0
pay_10132,2155.86,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-05 13:41:05,13,Wednesday,7,0,0,8,2414.49,0
pay_10133,641.69,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-10 03:42:54,3,Monday,13,2,0,16,760.44,0
pay_10134,7374.37,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-11 18:17:40,18,Tuesday,15,1,0,17,5937.85,0
pay_10135,373.47,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-12 21:23:21,21,Wednesday,18,3,0,22,394.82,0
pay_10136,3193.03,INR,Net Banking,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-05 16:56:42,16,Wednesday,1,2,0,4,3308.36,0
pay_10137,930.15,INR,Credit Card,FAILED,CARD_ISSUE,E_CARD_EXPIRED,Transaction failed due to code E_CARD_EXPIRED,2026-08-16 05:15:08,5,Sunday,11,2,0,14,1097.0,0
pay_10138,3755.64,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-19 19:05:36,19,Wednesday,13,0,0,14,3732.77,0
pay_10139,1945.95,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-14 22:38:07,22,Friday,10,3,0,14,1659.72,0
pay_10140,5920.81,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-09-01 20:34:35,20,Tuesday,17,4,0,22,6666.96,0
pay_10141,1873.34,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-07 07:59:11,7,Friday,11,4,0,16,1506.91,0
pay_10142,518.02,INR,Net Banking,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-18 21:12:03,21,Tuesday,6,1,0,8,603.89,0
pay_10143,1506.52,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-22 17:36:48,17,Saturday,1,3,0,5,1782.89,0
pay_10144,659.49,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-28 10:55:37,10,Friday,10,2,0,13,621.42,0
pay_10145,3323.91,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-09 01:33:32,1,Sunday,14,4,0,19,3302.31,0
pay_10146,936.47,INR,Credit Card,FAILED,INVALID_PAYMENT_DETAILS,E_INVALID_CVV,Transaction failed due to code E_INVALID_CVV,2026-08-22 03:42:17,3,Saturday,12,2,2,15,874.38,0
pay_10147,3834.12,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-23 06:51:59,6,Sunday,7,1,0,9,3772.29,0
pay_10148,347.43,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-23 21:20:34,21,Sunday,5,1,0,7,292.27,0
pay_10149,1094.37,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-13 20:53:59,20,Thursday,9,0,0,10,1070.73,0
pay_10150,661.83,INR,Credit Card,FAILED,INVALID_PAYMENT_DETAILS,E_INVALID_CVV,Transaction failed due to code E_INVALID_CVV,2026-09-02 12:22:33,12,Wednesday,4,0,2,5,768.61,0
pay_10151,2750.85,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-22 19:09:25,19,Saturday,15,0,0,16,2399.37,0
pay_10152,2248.01,INR,Net Banking,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-24 20:09:41,20,Monday,8,2,0,11,2629.63,0
pay_10153,9006.17,INR,Net Banking,FAILED,INSUFFICIENT_FUNDS,E_INSUFFICIENT_FUNDS,Transaction failed due to code E_INSUFFICIENT_FUNDS,2026-09-02 14:09:12,14,Wednesday,17,2,2,20,10191.08,1
pay_10154,244.27,INR,Credit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-30 08:53:45,8,Sunday,12,1,0,14,281.89,0
pay_10155,2038.97,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-14 01:29:49,1,Friday,14,0,0,15,2070.29,0
pay_10156,2859.22,INR,Debit Card,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-16 09:32:54,9,Sunday,11,1,0,13,2315.28,0
pay_10157,5252.45,INR,UPI,FAILED,INVALID_PAYMENT_DETAILS,E_INVALID_CVV,Transaction failed due to code E_INVALID_CVV,2026-08-13 09:05:12,9,Thursday,13,3,2,17,4312.65,0
pay_10158,381.78,INR,UPI,SUCCESS,SUCCESS,NONE,Transaction successful,2026-08-19 01:28:02,1,Wednesday,11,0,0,12,422.75,0
